Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
TXG,"10x Genomics, Inc.",49.3,4700738238.0,,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",5.0,93826335.0,18765267.0,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",4.48,26937182.72,,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.7344,18014080.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.13,66288927.06,,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",14.34,925617043.74,,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.8,47791434.6,,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),19.06,164948499.26,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,45.53,1162618202.36,,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.22,451249487.38,62499929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",16.82,1065292866.62,,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",8.87,367879019.01,41474523.0,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",79.13,3121111217.03,39442831.0,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.97,74052175.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.4,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.62,53100000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.4041,2323575.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,19.57,1943056531.56,,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
